timestamp,c,h,l,o
2020-11-11T21:00:00Z,15757.555274563461,15757.555274563461,15647.897268146835,15712.025651786971
2020-11-11T22:00:00Z,15791.316460138309,15863.349793270325,15791.316460138309,15801.02659402492
2020-11-11T23:00:00Z,15693.906873452925,15779.519270434954,15693.906873452925,15779.519270434954
2020-11-12T00:00:00Z,15623.87998237178,15687.777567674782,15534.843122429966,15687.777567674782
2020-11-12T01:00:00Z,15637.41685032689,15651.581267365049,15596.300819897826,15616.775285569242
2020-11-12T02:00:00Z,15633.392370553156,15661.956774495315,15614.429253673117,15644.284545974606
2020-11-12T03:00:00Z,15635.59272440735,15673.257149580915,15620.516759300595,15624.637102157567
2020-11-12T04:00:00Z,15659.058023349578,15669.749476822755,15622.872489334157,15642.487093610609
2020-11-12T05:00:00Z,15747.384210555914,15764.391591719332,15665.709646958638,15665.709646958638
2020-11-12T06:00:00Z,15801.153032922088,15845.644131753294,15746.786991761877,15755.848912332445
2020-11-12T07:00:00Z,15906.266846580305,15910.78479544449,15796.045974065852,15803.844315366026
2020-11-12T08:00:00Z,15838.423359142225,15904.896942113395,15838.423359142225,15867.715963212642
2020-11-12T09:00:00Z,16030.964515494075,16030.964515494075,15805.384355913473,15805.384355913473
2020-11-12T10:00:00Z,15804.587993988125,16115.595636987815,15804.587993988125,16039.14116360205
2020-11-12T11:00:00Z,15797.818396146393,15808.683318035963,15708.984051825386,15708.984051825386
2020-11-12T12:00:00Z,15902.873253997921,15902.873253997921,15753.851255629032,15753.851255629032
2020-11-12T13:00:00Z,15946.054492436271,15946.054492436271,15844.616214813093,15881.623507163624
2020-11-12T14:00:00Z,15940.324268285105,16040.235674736465,15864.582267584468,15986.881699600395
2020-11-12T15:00:00Z,16111.88956397631,16111.88956397631,15948.675645175921,15966.60220056042
2020-11-12T16:00:00Z,16103.305642288935,16123.89175579349,16028.372628825879,16099.519904546114
2020-11-12T17:00:00Z,15999.482526605478,16144.87096037132,15999.482526605478,16108.188970968273
2020-11-12T18:00:00Z,16083.310071889067,16083.310071889067,15919.02184896393,15949.617900388797
2020-11-12T19:00:00Z,16035.590713779338,16092.277736902524,15993.006504369578,16092.277736902524
2020-11-12T20:00:00Z,16118.483518437735,16118.483518437735,16036.913709093402,16060.043996296246
2020-11-12T21:00:00Z,16180.154944414344,16180.154944414344,16100.46544166675,16131.056119144125
2020-11-12T22:00:00Z,16217.95258938781,16298.566971944314,16134.409245609091,16134.409245609091
2020-11-12T23:00:00Z,16281.414511965559,16304.983801021912,16215.747786799408,16215.747786799408
2020-11-13T00:00:00Z,16407.377273764854,16414.436975155295,16277.209175912296,16292.71704795284
2020-11-13T01:00:00Z,16422.63421481527,16456.36053922114,16383.750091943599,16389.458427841062
2020-11-13T02:00:00Z,16388.865351843295,16462.7165484064,16369.553623998218,16434.509686315825
2020-11-13T03:00:00Z,16447.851582151427,16447.851582151427,16375.784957327365,16394.11213604949
2020-11-13T04:00:00Z,16388.95159601429,16435.92462922572,16378.165867535303,16435.22546740264
2020-11-13T05:00:00Z,16246.290324299493,16400.662044337787,16240.843093285352,16400.662044337787
2020-11-13T06:00:00Z,16305.984072981475,16326.059501310916,16237.054580973161,16237.054580973161
2020-11-13T07:00:00Z,16262.013615494749,16308.872078966653,16197.466523815327,16308.872078966653
